Building Name,Building Address,Building Support Group,IT Department,On-Call Shift,On-Call Phone Number,On-Call Name
Cardiology Tower,"100 Elm Street, Franklin City, PA",Facilities,,,999-555-0101,
Cardiology Tower,"100 Elm Street, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-559-4385,Min-jun Lee
Cardiology Tower,"100 Elm Street, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-121-7396,Amira ElSayed
Cardiology Tower,"100 Elm Street, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-847-9666,John Smith
Cardiology Tower,"100 Elm Street, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-158-3558,Anele Dlamini
Cardiology Tower,"100 Elm Street, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-781-3047,Amelie Dubois
Cardiology Tower,"100 Elm Street, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-575-3747,Ananya Roy
Cardiology Tower,"100 Elm Street, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-882-1189,Sofia Silva
Cardiology Tower,"100 Elm Street, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-786-4005,Emily Johnson
Cardiology Tower,"100 Elm Street, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-662-2899,Samuel Dube
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",Facilities,,,999-555-0101,
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-666-2267,Li Wei
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-931-2528,Michael Williams
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-230-4556,Finn Muller
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-918-9838,Mohamed AlHashmi
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-120-6393,Jessica Miller
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-487-9792,Chris Davis
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-415-9433,Diego Martinez
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-876-8513,Yousef Amir
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-664-8041,Isabella Mancini
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",Facilities,,,999-555-0101,
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-439-7235,Fatima Al-Khalifa
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-466-8099,Chen Bao
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-554-1775,Haruto Takahashi
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-134-4152,Luca Rossi
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-661-4943,Lucas Novak
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-487-4073,Ibrahim Saleh
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-489-4843,Chen Yu
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-921-7873,Min-jun Lee
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-655-1161,Amira ElSayed
Orthopedic Center,"400 Pine Road, Franklin City, PA",Facilities,,,999-555-0101,
Orthopedic Center,"400 Pine Road, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-301-1995,John Smith
